"date","CDU/CSU","SPD","Die Linke/PDS","AfD","Bündnis 90/Die Grünen","FDP"
2017-11-13,32,20.7,9.8,12.2,10.7,10.5
2017-11-06,30.8,21.2,9.6,12.9,9.9,11.4
2017-10-30,31.5,21,9.5,12,10.5,10.5
2017-10-23,32.2,21,9.4,12.2,10.2,10.6
2017-10-16,31.4,21.2,9.4,12.3,9.6,11.7
2017-10-09,31.6,20.8,9.6,12,10.2,11
2017-10-02,32,21,9.5,12,10,10.5
2017-09-25,32,20.8,9.8,12.2,10.2,11
2017-09-18,35.8,21.8,9.7,11.1,7.8,9.4
2017-09-11,36.3,22.2,9.6,10.5,7.6,9.6
2017-09-04,37.3,22.5,9.6,9.4,8.1,8.9
2017-08-28,37.9,23.3,9,9,7.7,8.7
2017-08-21,38.2,23,9,9.2,7.4,8.8
2017-08-14,39,23.5,8.5,8,7.7,8.9
2017-08-07,38.6,24,9.3,8.2,7.5,8.2
2017-07-31,38.3,23.5,9.3,8.5,7.7,8
2017-07-24,38.9,23.5,8.9,8.8,7.6,8.1
2017-07-17,38.5,24,8.9,8.2,7.6,8.1
2017-07-10,38.4,24.2,9.1,7.9,7.4,8.2
2017-07-03,38.5,23.6,9,7.8,8.1,8.5
2017-06-26,38.8,23.9,9.3,7.5,8,8.3
2017-06-19,38.7,24.2,9.4,7.6,7.9,7.8
2017-06-12,38.9,23.9,9.3,7.7,7.1,8.7
2017-06-05,38.2,24,9,8,7.5,8.8
2017-05-29,38.2,24.7,8.5,8,7.3,8.9
2017-05-22,37.5,25.3,8.7,7.7,7,8.8
2017-05-15,37.7,26.2,8.2,8.2,7.2,8.3
2017-05-08,36.8,26.8,8.8,8.8,7.5,7.2
2017-05-01,35.5,28.6,7.2,8.5,7,6.9
2017-04-24,35.8,29,8.9,8.8,7.4,6.4
2017-04-17,35.2,30.4,8.5,9.5,6.5,5.9
2017-04-10,34.8,30.9,8.5,9,6.9,6.1
2017-04-03,34.5,31.9,8.2,8.8,6.9,5.6
2017-03-27,33.7,31.3,8.5,9,6.8,5.7
2017-03-20,33.1,32,7.9,9.1,7.5,6.1
2017-03-13,32.7,31.3,7.8,9.8,7.2,6
2017-03-06,32.5,31.9,7.9,9.6,7.1,6.1
2017-02-27,32.2,32,7.7,9.7,7.2,6.3
2017-02-20,31.9,31.2,7.9,10,7.4,6.4
2017-02-13,32.6,31.1,8.2,9.5,7.6,6
2017-02-06,32.6,30.7,8.5,10.5,7.7,5.9
2017-01-30,33.4,28.5,8.6,11.5,7.9,5.9
2017-01-23,35.1,23.4,9.6,12.3,8.7,6.3
2017-01-16,35.6,21.5,10.1,12.2,9.1,6.6
2017-01-09,35.8,21,9.8,12.8,9.5,6.2
2017-01-02,36,20.5,9.8,13.4,9.9,6
2016-12-26,34.8,20.2,10.2,13.8,10,5.5
2016-12-19,35,21.5,10.2,12.3,10,6.2
2016-12-12,35.3,21.5,9.9,11.9,10.5,6
2016-12-05,35,22.1,10.1,12.4,10.5,5.2
2016-11-28,35.5,22,10.2,12.2,10.3,5.2
2016-11-21,34.6,22.2,9.9,12.5,10.6,5.1
2016-11-14,32.5,23.1,9.9,12.4,11.6,5.9
2016-11-07,33.3,22.6,9.9,11.8,11.4,6.1
2016-10-31,33,22.1,10.4,12.2,11.1,6.3
2016-10-24,33.1,22.6,10.1,12.5,11.4,5.5
2016-10-17,32.4,22.1,10.1,13.1,11.5,5.6
2016-10-10,32.9,22,10,13.1,11.6,6.5
2016-10-03,32,22,10.1,13.5,11.4,6.2
2016-09-26,31.7,22.3,10,13.8,10.3,6.7
2016-09-19,32,22.4,9,14.2,11.6,6
2016-09-12,32.6,23.1,8.2,13.5,11.1,6.6
2016-09-05,32.2,22.2,8.8,13.3,11.5,6.5
2016-08-29,32.6,22.2,9.4,13.1,11.4,6
2016-08-22,33.2,21.8,9.6,12,11.9,5.6
2016-08-15,33.9,21.9,9.6,10.6,12.1,6.4
2016-08-08,34.1,21.5,10.1,11,12.4,5.9
2016-08-01,33.6,22,9.8,11.2,12,5.9
2016-07-25,33.8,22.2,9.8,11,12,5.8
2016-07-18,34.2,22.5,9.6,10.2,12.2,6
2016-07-11,34.1,22.4,9.2,10.2,12.7,6.5
2016-07-04,33.6,22,9.4,11.3,12.8,6.2
2016-06-27,32.3,21.3,10,11.7,12.3,6.7
2016-06-20,32.5,21.5,9.5,12,12.8,6.2
2016-06-13,31.8,20.9,9.8,12.8,13,6.8
2016-06-06,32.5,20.3,9.8,11.8,12.7,7.7
2016-05-30,32.1,20.7,8.7,13,13.4,6.7
2016-05-23,32.2,20.2,9.3,13.7,13,6.3
2016-05-16,32.1,20.4,9.4,13.5,12.8,6.9
2016-05-09,32.8,21.1,9,12.7,12.9,7.2
2016-05-02,32.8,20.6,9,12.9,12.8,7
2016-04-25,32.3,21.2,9.3,12.2,13,7.3
2016-04-18,33.6,21.1,8.7,12.2,12.7,6.9
2016-04-11,33,21.4,9.1,11,12.9,7.4
2016-04-04,34.2,21.2,7.8,12.2,12.7,7.1
2016-03-28,32.5,21,9.5,13,12.8,6
2016-03-21,34.4,21.2,8.7,12,12.4,6.6
2016-03-14,34.7,21.8,9,12.6,10.8,6.7
2016-03-07,34.6,23.6,9.2,10.8,10.8,6.1
2016-02-29,34.6,23.5,10,10.6,10.2,5.9
2016-02-22,35.1,23.4,9.2,10.9,10.4,5.9
2016-02-15,35.5,23.9,9.7,10.9,10.1,5.3
2016-02-08,34.2,23.5,9.6,11.1,10,5.8
2016-02-01,34.8,23.8,9.5,11.6,9.8,5
2016-01-25,34.9,23.8,9.2,11.5,10,5.2
2016-01-18,35.1,23.9,9.4,10.6,9.4,5.8
2016-01-11,37,23.5,9,10.1,10,5
2016-01-04,38.7,23.2,8.9,8.9,10.3,4.6
2015-12-28,38,23,10,8,10,5
2015-12-21,37.9,23.5,10.2,8.6,9.6,4.8
2015-12-14,37.8,24.4,8.9,8.8,9.8,4.6
2015-12-07,36.7,24.5,9.5,8.7,9.5,4.7
2015-11-30,37.3,24.5,8.9,8.7,9.9,4.5
2015-11-23,37.7,24,9.2,8.5,9.8,4.8
2015-11-16,37.2,24.7,9.2,8.5,9.6,4.6
2015-11-09,36.6,25,9.4,8,9.9,5.4
2015-11-02,36.1,24.6,9.2,8,10.5,4.9
2015-10-26,36.5,24.6,9.4,7.1,10.5,5.1
2015-10-19,37.4,25,9.5,7.3,10.2,4.9
2015-10-12,38.8,25.1,9.1,6.6,9.7,4.7
2015-10-05,39,24.8,9.5,6,9.4,5
2015-09-28,39.9,24.5,9.7,5.4,9.9,4.4
2015-09-21,40.8,24.1,7.9,5.3,9.8,4.3
2015-09-14,41.2,24.6,7.8,4.3,9.9,4.5
2015-09-07,41.4,24.5,9.6,4.2,10.6,4
2015-08-31,41.5,24.2,8,3.9,10.9,4.3
2015-08-24,41.6,24.3,8.1,3.5,10.1,4.2
2015-08-17,41.9,24.4,9.5,3.6,10.1,4.5
2015-08-10,40.9,23,9.2,5,11.3,4.7
2015-08-03,42.3,24.2,9.5,3.3,10,4.3
2015-07-27,42.1,24.3,8,3.4,10.3,4.3
2015-07-20,42,24.2,5.6,3.5,9.9,4.5
2015-07-13,41.7,24.6,9.4,3.9,10.5,4.7
2015-07-06,42,24.8,7.5,3.8,10.5,4.2
2015-06-29,40.8,24,6.6,4.6,10.4,4.9
2015-06-22,41,24,7.6,4.4,10,4.5
2015-06-15,40.8,24.7,9.5,4.6,10.2,4.8
2015-06-08,40.3,24.3,9.3,4.7,10,5.3
2015-06-01,40.2,24.5,9.4,5,10,5.5
2015-05-25,40.3,24.6,7.4,4.9,10.5,5.2
2015-05-18,40.4,24.5,9.1,5.1,9.8,5.1
2015-05-11,41,24.6,7.5,5.2,10.3,4
2015-05-04,40.8,24.8,7.5,5.5,9.9,3.5
2015-04-27,41.2,24.7,6.5,5.3,10.3,3.3
2015-04-20,41.4,24.6,7.2,6.1,10.2,4
2015-04-13,41.3,24.6,7.2,5.7,9.9,4.4
2015-04-06,41.7,24,9,5.8,9.7,3.7
2015-03-30,41.8,24.3,9,5.8,10,3.6
2015-03-23,41.9,24.5,5.4,5.6,9.8,4.7
2015-03-16,41.5,24.1,9,6.3,9.6,4.1
2015-03-09,41,24.1,9,6.4,10.1,4
2015-03-02,40.8,24.6,8.8,6.9,9.9,3.8
2015-02-23,41.6,23.8,6.1,6.4,9.8,4.2
2015-02-16,41.8,24.6,8.6,6,9.6,4.2
2015-02-09,41.4,24.2,8.9,6.6,10.1,3.8
2015-02-02,41,24.8,9.2,5.8,10.4,3.1
2015-01-26,41.4,24.2,9,6.2,10.1,3.2
2015-01-19,41.9,23.7,5.1,6.2,10.3,3.3
2015-01-12,42,23.5,7.1,6.6,9.8,3.6
2015-01-05,42.1,24,9.1,6.4,9.8,2.8
2014-12-22,42,24.3,9.3,6,9.7,2
2014-12-15,41.7,24.8,6.8,6.4,10.2,2.4
2014-12-08,40.8,25,9.1,6.8,10.4,2.2
2014-12-01,41.1,24.5,9,6.9,10.2,2.3
2014-11-24,42,24.4,6.7,6.3,9.8,2.8
2014-11-17,40.9,24.8,8.8,6.9,9.9,3
2014-11-10,41,24.5,7.7,7.6,9.4,2.8
2014-11-03,41,23.5,9,7.5,9.5,3
2014-10-27,40.8,24.8,7.3,7.2,9.6,2.4
2014-10-20,40.9,24.4,5.3,7.5,9.5,2.7
2014-10-13,40.8,24,8.5,8.2,9.8,2.5
2014-10-06,40.5,23.8,9,8.5,10,2.2
2014-09-29,40.1,24.8,9.1,8.1,9.6,2.6
2014-09-22,41,23.8,5.8,8.8,9.1,2.6
2014-09-15,40.5,24.9,9,6.9,9.5,3.4
2014-09-08,41.1,24,8,6.4,9.6,3.1
2014-09-01,41.5,25,9.5,5.2,9.5,3
2014-08-25,41.5,25,9.1,4.5,10,3.6
