"date","CDU/CSU","SPD","Die Linke/PDS","AfD","Bündnis 90/Die Grünen","FDP"
2017-01-01,35.4,20.8,9.9,13.1,10,5.9
2017-01-02,34.5,20.9,10.3,13.6,10,5.9
2017-01-03,34.7,20.8,10.1,13.7,10,5.9
2017-01-04,35.4,20.5,9.9,13.8,9.8,5.9
2017-01-05,35.8,20.7,9.7,13.6,9.8,5.7
2017-01-06,35.9,20.6,9.6,13.4,9.8,5.8
2017-01-07,36.1,20.7,9.5,13.3,9.8,5.8
2017-01-08,36.2,20.6,9.5,13.3,9.8,5.8
2017-01-09,35.6,20.7,9.7,13.6,9.7,6
2017-01-10,35.6,20.7,9.7,13.6,9.7,6
2017-01-11,35.8,20.8,9.7,13.3,9.7,6
2017-01-12,35.7,20.8,9.6,13.3,9.8,6
2017-01-13,36,20.8,9.5,13,9.7,6
2017-01-14,35.9,20.8,9.6,13.1,9.6,6
2017-01-15,35.9,20.8,9.6,13.1,9.6,6
2017-01-16,35.6,20.9,9.7,13.1,9.5,6.2
2017-01-17,35.9,20.8,9.6,12.9,9.5,6.3
2017-01-18,36,20.9,9.8,12.8,9.4,6.2
2017-01-19,35.9,21.3,9.8,12.4,9.3,6.4
2017-01-20,35.9,21.2,9.8,12.4,9.4,6.4
2017-01-21,35.7,21.3,9.8,12.5,9.3,6.5
2017-01-22,35.7,21.3,9.8,12.5,9.3,6.5
2017-01-23,35.3,21.3,10,12.8,9.2,6.6
2017-01-24,35.5,21.3,9.9,12.6,9.3,6.6
2017-01-25,35.6,21.8,9.6,12.6,9.3,6.4
2017-01-26,35.6,22.1,9.7,12.4,9.1,6.4
2017-01-27,35.5,22.7,9.7,12.3,8.9,6.4
2017-01-28,35.3,22.8,9.7,12.3,8.9,6.4
2017-01-29,35.3,22.9,9.7,12.3,8.9,6.4
2017-01-30,34.9,23.3,9.8,12.4,8.7,6.4
2017-01-31,35.1,23.4,9.7,12.3,8.7,6.3
2017-02-01,34.9,24.1,9.5,12.2,8.6,6.3
2017-02-02,34.5,25,9.2,12.1,8.5,6.3
2017-02-03,34.3,26,9,11.9,8.4,6.1
2017-02-04,34.1,26.4,9,11.9,8.2,6.1
2017-02-05,34,26.5,9,11.9,8.2,6.1
2017-02-06,33.5,27,9.1,11.9,8.1,6
2017-02-07,33.6,27.5,9,11.7,8.1,5.9
2017-02-08,33.4,28.2,8.8,11.4,8.1,5.9
2017-02-09,33.1,29.1,8.8,11.2,7.8,5.9
2017-02-10,33,29.7,8.5,10.9,7.7,5.8
2017-02-11,32.8,30,8.4,10.9,7.7,5.8
2017-02-12,32.9,30,8.4,10.9,7.7,5.8
2017-02-13,32.4,30.1,8.6,11.1,7.6,5.7
2017-02-14,32.5,30.4,8.5,10.9,7.6,5.6
2017-02-15,32.5,30.7,8.4,10.4,7.6,5.8
2017-02-16,32.6,30.8,8.1,10.2,7.7,5.8
2017-02-17,32.7,31,8.1,9.9,7.6,5.8
2017-02-18,32.6,31,8.1,9.9,7.6,5.9
2017-02-19,32.6,31,8.1,9.9,7.6,5.9
2017-02-20,32.5,30.9,8.2,10,7.5,5.9
2017-02-21,32.7,30.9,8.1,9.8,7.5,5.9
2017-02-22,32.4,31.1,8,9.9,7.5,6
2017-02-23,32.3,31.2,8,9.8,7.4,6
2017-02-24,32.4,31.2,7.8,9.8,7.5,6.1
2017-02-25,32.2,31.2,7.8,9.9,7.5,6.2
2017-02-26,32.2,31.2,7.8,9.9,7.5,6.2
2017-02-27,31.9,31.4,7.8,10,7.4,6.3
2017-02-28,32.1,31.4,7.7,9.8,7.5,6.5
2017-03-01,32.3,31.5,7.7,9.8,7.4,6.4
2017-03-02,32.2,31.4,7.7,10,7.4,6.4
2017-03-03,32.2,31.6,7.7,9.7,7.3,6.3
2017-03-04,32.1,31.7,7.7,9.9,7.4,6.4
2017-03-05,32.1,31.7,7.7,9.9,7.4,6.3
2017-03-06,31.8,31.7,7.8,10.1,7.2,6.5
2017-03-07,31.9,31.8,7.7,9.9,7.3,6.6
2017-03-08,32,31.9,7.8,9.8,7.4,6.5
2017-03-09,32.4,31.9,7.9,9.7,7.3,6.2
2017-03-10,32.5,31.9,7.8,9.6,7.3,6.2
2017-03-11,32.5,31.9,7.8,9.7,7.2,6.1
2017-03-12,32.5,31.9,7.8,9.7,7.2,6.1
2017-03-13,32.3,31.8,7.9,9.9,7.1,6.2
2017-03-14,32.4,31.8,7.9,9.8,7.1,6.2
2017-03-15,32.5,31.8,7.9,9.7,7.3,6
2017-03-16,32.5,31.8,7.9,9.7,7.3,6
2017-03-17,32.7,31.7,7.8,9.6,7.3,6
2017-03-18,32.6,31.7,7.8,9.8,7.2,6
2017-03-19,32.9,31.9,7.9,9.4,7.2,6.1
2017-03-20,32.6,31.9,7.9,9.6,7.2,6.2
2017-03-21,32.8,31.9,7.9,9.5,7.2,6
2017-03-22,32.9,32,7.8,9.6,7.4,5.9
2017-03-23,32.9,32,7.8,9.6,7.4,5.9
2017-03-24,33,32,7.8,9.3,7.4,6
2017-03-25,32.9,32,7.9,9.4,7.5,6
2017-03-26,32.9,32,7.9,9.4,7.5,6
2017-03-27,32.8,32,7.9,9.6,7.4,6
2017-03-28,33,32,7.9,9.5,7.4,5.9
2017-03-29,33,32.2,7.9,9.2,7.3,5.9
2017-03-30,33,32.2,7.9,9.3,7.3,6
2017-03-31,33.4,31.8,8.1,9.1,7.2,5.9
2017-04-01,33.4,31.8,8.2,9.1,7.2,5.9
2017-04-02,33.4,31.8,8.2,9.1,7.2,5.8
2017-04-03,33.1,31.8,8.3,9.3,7.1,5.9
2017-04-04,33.3,31.7,8.3,9,7.2,5.8
2017-04-05,33.6,31.9,8.3,9,7.2,5.7
2017-04-06,34,31.9,8.3,8.8,6.9,5.6
2017-04-07,34.3,31.7,8.3,8.7,6.9,5.6
2017-04-08,34.4,31.7,8.3,8.9,6.9,5.6
2017-04-09,34.4,31.7,8.2,8.9,6.9,5.6
2017-04-10,34.2,31.7,8.3,9.1,6.8,5.8
2017-04-11,34.4,31.6,8.2,8.9,6.9,5.7
2017-04-12,34.4,31.4,8.2,9.2,7.1,5.8
2017-04-13,34.9,31.1,8.4,8.9,6.9,5.9
2017-04-14,34.8,31,8.4,8.9,6.9,5.9
2017-04-15,34.8,31.2,8.4,9,6.9,5.9
2017-04-16,34.8,31.2,8.4,9,6.9,5.9
2017-04-17,34.8,31.2,8.4,9,6.9,5.9
2017-04-18,34.9,31,8.4,9.1,6.8,6
2017-04-19,35,30.9,8.4,9.2,6.7,5.9
2017-04-20,35,30.7,8.5,9.2,6.7,5.9
2017-04-21,35.2,30.6,8.5,9.3,6.7,6
2017-04-22,35.1,30.6,8.5,9.4,6.7,6
2017-04-23,35.1,30.6,8.5,9.4,6.7,6
2017-04-24,34.9,30.5,8.6,9.5,6.7,6
2017-04-25,35.1,30.5,8.6,9.4,6.7,6
2017-04-26,35.2,30.2,8.7,9.3,6.8,6
2017-04-27,35.6,29.9,8.9,9,6.8,6
2017-04-28,35.6,29.5,8.7,9.1,7.1,6.2
2017-04-29,35.6,29.5,8.7,9.1,7.1,6.2
2017-04-30,35.6,29.5,8.7,9.1,7.1,6.2
2017-05-01,35.7,29.5,8.7,9,7.1,6.2
2017-05-02,35.4,29.3,8.9,9,7,6.3
2017-05-03,35.6,29.1,8.8,8.9,7.1,6.4
2017-05-04,35.6,28.8,8.9,8.9,7.2,6.5
2017-05-05,35.7,28.8,8.8,8.7,7.1,6.6
2017-05-06,35.6,28.7,8.8,8.6,7.1,6.6
2017-05-07,35.6,28.7,8.8,8.6,7.1,6.6
2017-05-08,35.5,28.5,9,8.9,7.1,6.7
2017-05-09,35.6,28.4,8.9,8.7,7.2,6.7
2017-05-10,36,28,8.8,8.8,7.4,6.8
2017-05-11,36.1,27.9,8.8,8.8,7.4,6.8
2017-05-12,36.3,27.5,8.7,8.7,7.3,7.1
2017-05-13,36.4,27.5,8.7,8.7,7.3,7.1
2017-05-14,36.4,27.4,8.7,8.7,7.3,7.1
2017-05-15,36.3,27.4,8.7,8.9,7.1,7.2
2017-05-16,36.3,27.4,8.7,8.9,7.1,7.2
2017-05-17,36.9,27,8.3,8.8,7.2,7.5
2017-05-18,37.2,26.7,8.4,8.5,7.2,7.7
2017-05-19,37.4,26.5,8.3,8.3,7.3,8
2017-05-20,37.5,26.3,8.3,8.4,7.3,8.1
2017-05-21,37.5,26.3,8.3,8.4,7.3,8.1
2017-05-22,37.4,26.3,8.5,8.3,7.2,8.2
2017-05-23,37.6,26.1,8.4,8.2,7.3,8.3
2017-05-24,37.6,26.1,8.4,8.1,7.3,8.3
2017-05-25,37.6,25.9,8.4,8,7.2,8.5
2017-05-26,37.7,25.8,8.4,7.9,7.2,8.5
2017-05-27,37.6,25.7,8.4,8,7.2,8.6
2017-05-28,37.6,25.7,8.4,8,7.2,8.6
2017-05-29,37.3,25.8,8.6,8.2,7,8.8
2017-05-30,37.4,25.7,8.6,8,7.1,8.8
2017-05-31,37.7,25.5,8.4,8,7.2,8.8
