"date","CDU/CSU","SPD","Die Linke/PDS","AfD","Bündnis 90/Die Grünen","FDP"
2017-05-15,36.5806078403832,26.1682671413312,8.62761884612901,8.52934564855472,9.47789802782463,7.08600302849606
2017-05-16,36.5810013243291,26.1592918375826,8.62707188961953,8.50564794572254,9.44737780400651,7.16759673491869
2017-05-17,36.8517744305917,25.9291963887695,8.43604126401128,8.46475772634033,9.44748733522157,7.29916205080731
2017-05-18,37.0200404533914,25.8168505501356,8.4831969603015,8.1137898216177,9.40506666362059,7.44260985362443
2017-05-19,37.1297742931113,25.6613594327739,8.453021023964,8.04189030563365,9.35140290124752,7.68612846300393
2017-05-20,37.1998737672888,25.5550858469701,8.45250085069254,8.04189030563365,9.35827731083228,7.6943396238068
2017-05-21,37.1973833812681,25.5550858469701,8.45199893077448,8.04189030563365,9.35827731083228,7.67372419478624
2017-05-22,37.140348618161,25.5516729361936,8.5339626427555,8.04189030563365,9.30216931010587,7.82825063170009
2017-05-23,37.2631696643397,25.4426979857247,8.49336932257232,7.86417358697019,9.3410159939587,7.91717002768685
2017-05-24,37.2570468570883,25.4532493088693,8.49477520608276,7.85056389307573,9.29639223475687,7.90847170601267
2017-05-25,37.2570665427237,25.3359046007944,8.49484286858887,7.76282191689508,9.24522810377228,8.07680249320012
2017-05-26,37.3142681589156,25.2710450160121,8.49693349293919,7.67507994071442,9.25951139842726,8.07084458438195
2017-05-27,37.2565159742248,25.2120785862739,8.49768191880998,7.76282191689508,9.27785634620488,8.03560750484017
2017-05-28,37.2482405815332,25.2120785862739,8.49767575844154,7.76282191689508,9.29004153068744,8.03153695193932
2017-05-29,37.0738426670829,25.2867353455639,8.57333195485737,7.85056389307573,9.21366078031267,8.18041082744967
2017-05-30,37.1256710031073,25.2271185420195,8.57376071570905,7.74998868488868,9.24512575358819,8.25002521213546
2017-05-31,37.286608053218,25.1743828900084,8.49481582112871,7.77531522763846,9.28810149434385,8.21325413520052
2017-06-01,37.3400680160189,25.0582024420398,8.57436728478653,7.77531522763846,9.22766548350126,8.19713433100021
2017-06-02,37.3886146698371,24.8709508452446,8.53458661591129,7.77531522763846,9.31917566839534,8.23155018575783
2017-06-03,37.3792084100538,24.871867630298,8.5742096599552,7.76282191689508,9.2973084398416,8.16541728048934
2017-06-04,37.37539164878,24.87293846287,8.57426548740058,7.76282191689508,9.2973084398416,8.18542190759007
2017-06-05,37.4218269585753,24.8753343553364,8.57426548740058,7.76282191689508,9.36100127485303,8.18641143682232
2017-06-06,37.465967233416,24.609483217238,8.65361744272176,7.76282191689508,9.3772311379532,8.12388674943043
2017-06-07,37.4993885040034,24.5435140838605,8.6535449954958,7.85056389307573,9.34643538425555,8.19922602137772
2017-06-08,37.4828706824561,24.543336287483,8.67666784732561,7.87737025568876,9.32127543590371,8.182132779551
2017-06-09,37.4244849913675,24.477854216131,8.62521742652739,7.77531522763846,9.33484428783063,8.18690668598937
2017-06-10,37.4198181311207,24.4791983418008,8.67548591971984,7.86417358697019,9.30821917849982,8.20902243128201
2017-06-11,37.420003482743,24.4795262223067,8.67448037563174,7.86417358697019,9.30821917849982,8.21842873257524
2017-06-12,37.3716946575889,24.4088799528551,8.7737134962026,7.95303194630192,9.26335114014382,8.2602543418945
2017-06-13,37.4926563500321,24.3380687867635,8.72330353577063,7.86417358697019,9.27214431244324,8.02184093702902
2017-06-14,37.555860385201,24.4092570723547,8.67215029421094,7.85056389307573,9.24340683756357,8.06508372854366
2017-06-15,37.6820131856744,24.2698500007201,8.72741060605733,7.65143259848288,9.27876181341517,8.22378128679699
2017-06-16,37.6666789277287,24.1381312020369,8.77098554055622,7.57679824851845,9.30621735172987,8.22847341794346
2017-06-17,37.6881622692225,24.1356735546266,8.81169939235739,7.65143259848288,9.34643538425555,8.31834214302523
2017-06-18,37.6955283773615,24.1356735546266,8.81169939235739,7.65143259848288,9.34643538425555,8.31834214302523
2017-06-19,37.5611292174859,24.2041436420874,8.89976166185851,7.73685413320684,9.3524981130024,8.31834214302523
2017-06-20,37.5606965456512,24.2056499568642,8.89252465286556,7.72345602888375,9.33083620626431,8.3365668111647
2017-06-21,37.6102545044565,24.2038036301028,8.85454477135724,7.72345602888375,9.42009455249503,8.18127417611817
2017-06-22,37.6325865125983,24.2728135573134,8.90421189891563,7.54381751816341,9.42416791451552,8.10018879392364
2017-06-23,37.7301641698702,24.2037127871499,8.85076005983174,7.45069833136752,9.54718191632647,7.95189646978499
2017-06-24,37.7903083210231,24.2073234563756,8.90291928477686,7.45069833136752,9.59322095888915,7.88634538925608
2017-06-25,37.7900163710367,24.2075871446888,8.90458614402423,7.45069833136752,9.59322095888915,7.88634538925608
2017-06-26,37.6895974610849,24.3421776902018,8.90126835614544,7.53247053966532,9.580314974787,7.9735543352187
2017-06-27,37.7388271978071,24.3421429809461,8.85612950327562,7.45069833136752,9.61437078410462,7.90161011248762
2017-06-28,37.9086442264147,24.0716384571625,8.85496509640432,7.27942384869422,9.69318344590229,7.91711450245057
2017-06-29,37.9278250158937,24.0694064631346,8.85609179952228,7.28715391477192,9.68924951023204,7.91859734433388
2017-06-30,37.9234585021118,24.0128739859252,8.89193024144127,7.28715391477192,9.66526864040459,7.83559585480121
2017-07-01,37.890179194765,24.0126108598493,8.84362841750843,7.35994743561519,9.673894863647,7.84720003807671
2017-07-02,37.887116042918,24.0121851077978,8.84558025542843,7.36892612306972,9.66107933077391,7.84593060282121
2017-07-03,37.7330295809359,24.0786498632331,8.93476022401176,7.54381751816341,9.6035477816157,7.92817162991537
