"vdatum","befragte","institut","url","vdatum_char","feldzeit_beginn","feldzeit_ende","datum","datum_char","jahr","partei","stimmanteil","se","lwr","upr","abweichung"
2017-04-28,1328,"FG Wahlen","http://www.wahlrecht.de/umfragen/politbarometer.htm","28.04.2017","25.04.","27.04.",2017-04-27,"27.04.2017",2017,"gruene",8,0.00744457431603634,6.5,9.5,1.4
2017-04-28,1328,"FG Wahlen","http://www.wahlrecht.de/umfragen/politbarometer.htm","28.04.2017","25.04.","27.04.",2017-04-27,"27.04.2017",2017,"linke_pds",9,0.00785313228890154,7.5,10.5,0.2
2017-04-28,1328,"FG Wahlen","http://www.wahlrecht.de/umfragen/politbarometer.htm","28.04.2017","25.04.","27.04.",2017-04-27,"27.04.2017",2017,"spd",29,0.0124517139672774,26.6,31.4,-1.2
2017-04-29,2439,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","29.04.2017","20.04.","26.04.",2017-04-26,"26.04.2017",2017,"afd",9,0.00579476796717159,7.9,10.1,-0.3
2017-04-29,2439,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","29.04.2017","20.04.","26.04.",2017-04-26,"26.04.2017",2017,"cdu_csu",36,0.00971930782769259,34.1,37.9,0.7
2017-04-29,2439,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","29.04.2017","20.04.","26.04.",2017-04-26,"26.04.2017",2017,"fdp",6,0.0048087660831353,5.1,6.9,-0.5
2017-04-29,2439,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","29.04.2017","20.04.","26.04.",2017-04-26,"26.04.2017",2017,"gruene",7,0.0051663591544403,6,8,-0.1
2017-04-29,2439,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","29.04.2017","20.04.","26.04.",2017-04-26,"26.04.2017",2017,"linke_pds",9,0.00579476796717159,7.9,10.1,0.5
2017-04-29,2439,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","29.04.2017","20.04.","26.04.",2017-04-26,"26.04.2017",2017,"spd",29,0.00918802722016222,27.2,30.8,0
2017-04-25,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","25.04.2017","21.04.","24.04.",2017-04-24,"24.04.2017",2017,"afd",10,NA,NA,NA,1
2017-04-25,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","25.04.2017","21.04.","24.04.",2017-04-24,"24.04.2017",2017,"cdu_csu",34,NA,NA,NA,-1.8
2017-04-25,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","25.04.2017","21.04.","24.04.",2017-04-24,"24.04.2017",2017,"fdp",6.5,NA,NA,NA,0.6
2017-04-25,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","25.04.2017","21.04.","24.04.",2017-04-24,"24.04.2017",2017,"gruene",6.5,NA,NA,NA,-0.5
2017-04-25,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","25.04.2017","21.04.","24.04.",2017-04-24,"24.04.2017",2017,"linke_pds",9.5,NA,NA,NA,0.6
2017-04-25,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","25.04.2017","21.04.","24.04.",2017-04-24,"24.04.2017",2017,"spd",30,NA,NA,NA,0.1
2017-04-26,2002,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","26.04.2017","18.04.","21.04.",2017-04-21,"21.04.2017",2017,"afd",9,0.00639602149066831,7.7,10.3,-1.1
