"datum","afd","cdu_csu","fdp","gruene","linke_pds","spd"
2017-04-17,8.8,34.8,6,6.9,8.5,31.2
2017-04-18,8.9,34.9,6,6.8,8.5,31
2017-04-19,9,35,5.9,6.7,8.5,30.9
2017-04-20,9,35,5.9,6.7,8.6,30.7
2017-04-21,9.1,35.2,6,6.7,8.5,30.5
2017-04-22,9.2,35.1,6,6.7,8.6,30.6
2017-04-23,9.2,35.1,6,6.7,8.6,30.6
2017-04-24,9.3,34.9,6.1,6.7,8.7,30.5
2017-04-25,9.2,35.1,6,6.7,8.7,30.5
2017-04-26,9.2,35.1,6,6.7,8.7,30.5
2017-04-27,8.8,35.5,6.1,6.8,8.9,30.1
2017-04-28,9.2,35.4,6.1,6.9,8.9,30
2017-04-29,9.1,35.4,6.1,6.9,8.9,29.9
2017-04-30,9.1,35.4,6.1,6.9,8.9,29.9
