"date","CDU/CSU","SPD","Die Linke/PDS","AfD","Bündnis 90/Die Grünen","FDP"
"2000-7-01",38,40,5,NA,5,7
"2000-8-01",36,42,5,NA,6,7
"2000-9-01",38,40,5,NA,6,6
"2000-10-01",37,41,5,NA,6,6
"2000-11-01",38,41,5,NA,6,6
"2000-12-01",38,41,5,NA,6,6
"2001-1-01",38,41,5,NA,6,6
"2001-2-01",36,43,5,NA,5,7
"2001-3-01",37,42,5,NA,6,6
"2001-4-01",38,41,5,NA,6,6
"2001-5-01",35.5,41,5,NA,6,8
"2001-6-01",36.5,40,5,NA,6,8.5
"2001-7-01",35,39.3333333333333,6,NA,6.33333333333333,9.66666666666667
"2001-8-01",36.75,38.25,5.75,NA,6,8.5
"2001-9-01",36.6666666666667,39.3333333333333,5,NA,6,8.33333333333333
"2001-10-01",36.1666666666667,40.5,5.5,NA,5.83333333333333,7.83333333333333
"2001-11-01",35.6,40,7,NA,5.2,7.8
"2001-12-01",36.5,39.75,6.5,NA,5.5,7.5
"2002-1-01",39.6666666666667,37.6666666666667,6.55555555555556,NA,5.55555555555556,7.33333333333333
"2002-2-01",40.5,37.1428571428571,5.78571428571429,NA,5.14285714285714,8.28571428571429
"2002-3-01",40.25,35.625,6,NA,5.875,8.625
"2002-4-01",39.9166666666667,35,5.91666666666667,NA,6.33333333333333,9
"2002-5-01",40.1428571428571,33.2857142857143,5.57142857142857,NA,6.42857142857143,10.5714285714286
"2002-6-01",38.9642857142857,35.0714285714286,5.64285714285714,NA,6.42857142857143,9.71428571428571
"2002-7-01",40.0769230769231,35.4615384615385,5.53846153846154,NA,6.23076923076923,8.69230769230769
"2002-8-01",40.2894736842105,36.2105263157895,4.57894736842105,NA,6.73684210526316,8.68421052631579
"2002-9-01",38.2272727272727,38.7727272727273,4.10909090909091,NA,7.54545454545455,8.18181818181818
"2002-10-01",40.7272727272727,36.9090909090909,3.63636363636364,NA,9.54545454545454,6.18181818181818
"2002-11-01",46.9357142857143,30.8071428571429,4.07142857142857,NA,10.0285714285714,4.98571428571429
"2002-12-01",47.86,29.04,4.2,NA,10.55,5.03
"2003-1-01",47,30.4923076923077,3.64615384615385,NA,10.1,5.71538461538462
"2003-2-01",48.0625,28.225,3.575,NA,10.8,6.5375
"2003-3-01",46.9,29.5529411764706,3.54117647058824,NA,10.7588235294118,6.28235294117647
"2003-4-01",45.63125,30.56875,3.8875,NA,10.49375,6.51875
"2003-5-01",47.3933333333333,27.3933333333333,4.14666666666667,NA,11.12,6.99333333333333
"2003-6-01",46.0611111111111,29.8,3.83333333333333,NA,10.2333333333333,6.65555555555556
"2003-7-01",45.1117647058824,31.2117647058824,3.84705882352941,NA,10.1176470588235,6.69411764705882
"2003-8-01",44.85625,30.375,4.01875,NA,10.36875,6.975
"2003-9-01",46.23125,29.05,3.975,NA,10.66875,6.55625
"2003-10-01",49.7666666666667,25.8833333333333,3.62777777777778,NA,11.0111111111111,6.04444444444444
"2003-11-01",48.66,25.94,4.25333333333333,NA,10.6733333333333,6.62666666666667
"2003-12-01",48.5818181818182,26.6818181818182,4.16363636363636,NA,10.5818181818182,6.34545454545455
"2004-1-01",48.1727272727273,25.5727272727273,4.74545454545455,NA,10.5090909090909,7.26363636363636
"2004-2-01",47.5272727272727,25.4727272727273,4.7,NA,10.9454545454545,7.71818181818182
"2004-3-01",48.2846153846154,25.8692307692308,4.67692307692308,NA,11.2230769230769,6.16153846153846
"2004-4-01",46.8153846153846,27.0384615384615,4.79230769230769,NA,10.9615384615385,6.36923076923077
"2004-5-01",46.9727272727273,26.5909090909091,4.46363636363636,NA,11.0818181818182,6.80909090909091
"2004-6-01",45.575,25.3333333333333,5.53333333333333,NA,11.7333333333333,7.325
"2004-7-01",44.7076923076923,24.6307692307692,6.07692307692308,NA,12.2461538461538,7.34615384615385
"2004-8-01",43.09,25.03,6.94,NA,12.33,7.52
"2004-9-01",42.3,26.725,6.625,NA,11.95,7.08333333333333
"2004-10-01",39.5769230769231,30.3076923076923,5.6,NA,11.6230769230769,7.56923076923077
"2004-11-01",39.4083333333333,31.075,5.31666666666667,NA,11.4083333333333,7.81666666666667
"2004-12-01",39.3083333333333,32.425,5.25,NA,10.825,7.61666666666667
"2005-1-01",38.0529411764706,33.3882352941176,5.00588235294118,NA,11.0058823529412,7.74117647058824
"2005-2-01",40.08,32.3933333333333,4.78,NA,10.2733333333333,7.18666666666667
"2005-3-01",43.7333333333333,30.1,4.87333333333333,NA,9.22666666666667,6.98666666666667
"2005-4-01",44.8125,29.08125,5.00625,NA,8.95625,6.96875
"2005-5-01",45.6733333333333,28.7733333333333,4.62666666666667,NA,8.78666666666667,7.41333333333333
"2005-6-01",46.3470588235294,27.3176470588235,7.45882352941176,NA,8.12941176470588,6.82941176470588
"2005-7-01",43.6421052631579,26.8631578947368,10.8526315789474,NA,8.16842105263158,7.10526315789474
"2005-8-01",42.2821428571429,29.0178571428571,10.0928571428571,NA,7.81785714285714,7.35357142857143
"2005-9-01",40.0631578947368,33.3105263157895,8.3421052631579,NA,7.43157894736842,7.78947368421053
"2005-10-01",36.275,33.8875,8.63125,NA,8.26875,9.2875
"2005-11-01",34.6882352941176,32.6235294117647,9.34705882352941,NA,8.88235294117647,10.6882352941176
"2005-12-01",36.1181818181818,32.6909090909091,8.73636363636364,NA,8.47272727272727,10.3
