"abstand","party","weight_s","voteshare_hat","weight_f","weight_umfrage","weight_forecast","weight_gesamt","date"
0,"afd",0.810000000000001,6.78091192245483,25.840097774351,0.969606115262377,0.0303938847376227,1,2017-09-24
0,"cdu_csu",10.824,36.7920455932617,27.1906980225042,0.715268026235738,0.284731973764262,1,2017-09-24
0,"fdp",2.574,6.66934633255005,13.7354163247314,0.842177062087941,0.157822937912059,1,2017-09-24
0,"gruene",0.795999999999999,10.3744049072266,3.44291501439547,0.812216098389149,0.187783901610851,1,2017-09-24
0,"linke_pds",4.598,8.55743789672852,7.36413116108637,0.61562033235703,0.38437966764297,1,2017-09-24
0,"spd",0.910000000000001,24.429838180542,27.2930441102895,0.967733979479612,0.0322660205203877,1,2017-09-24
1,"afd",0.810000000000001,6.78091192245483,25.840097774351,0.969606115262377,0.0303938847376227,1,2017-09-23
1,"cdu_csu",11.284,36.7920455932617,27.1906980225042,0.706716346587051,0.293283653412949,1,2017-09-23
1,"fdp",2.742,6.66934633255005,13.7354163247314,0.833590415756841,0.166409584243159,1,2017-09-23
1,"gruene",0.845999999999999,10.3744049072266,3.44291501439547,0.802747315542403,0.197252684457597,1,2017-09-23
1,"linke_pds",4.488,8.55743789672852,7.36413116108637,0.621333923916125,0.378666076083875,1,2017-09-23
1,"spd",0.954,24.429838180542,27.2930441102895,0.966226554669751,0.0337734453302492,1,2017-09-23
2,"afd",0.810000000000001,6.78091192245483,25.840097774351,0.969606115262377,0.0303938847376227,1,2017-09-22
2,"cdu_csu",11.436,36.7920455932617,27.1906980225042,0.703935345616721,0.29606465438328,1,2017-09-22
2,"fdp",2.78,6.66934633255005,13.7354163247314,0.831672423792489,0.168327576207511,1,2017-09-22
2,"gruene",0.862,10.3744049072266,3.44291501439547,0.799763759071316,0.200236240928684,1,2017-09-22
2,"linke_pds",4.474,8.55743789672852,7.36413116108637,0.622068725281008,0.377931274718992,1,2017-09-22
2,"spd",0.792000000000003,24.429838180542,27.2930441102895,0.97179993747242,0.0282000625275799,1,2017-09-22
3,"afd",0.810000000000001,6.78091192245483,25.840097774351,0.969606115262377,0.0303938847376227,1,2017-09-21
3,"cdu_csu",11.102,36.7920455932617,27.1906980225042,0.71007527352929,0.28992472647071,1,2017-09-21
3,"fdp",2.666,6.66934633255005,13.7354163247314,0.837453062149274,0.162546937850726,1,2017-09-21
3,"gruene",0.91,10.3744049072266,3.44291501439547,0.790944689480371,0.209055310519629,1,2017-09-21
3,"linke_pds",4.948,8.55743789672852,7.36413116108637,0.598119940791517,0.401880059208483,1,2017-09-21
3,"spd",0.792000000000002,24.429838180542,27.2930441102895,0.97179993747242,0.0282000625275799,1,2017-09-21
4,"afd",1.44,6.78091192245483,25.840097774351,0.947214265435885,0.0527857345641151,1,2017-09-20
4,"cdu_csu",11.326,36.7920455932617,27.1906980225042,0.705945717533145,0.294054282466855,1,2017-09-20
4,"fdp",2.82,6.66934633255005,13.7354163247314,0.829662997010391,0.170337002989609,1,2017-09-20
4,"gruene",1.098,10.3744049072266,3.44291501439547,0.75819851362134,0.24180148637866,1,2017-09-20
4,"linke_pds",4.978,8.55743789672852,7.36413116108637,0.596666091534079,0.403333908465921,1,2017-09-20
4,"spd",0.698000000000002,24.429838180542,27.2930441102895,0.975063452536827,0.024936547463173,1,2017-09-20
5,"afd",1.96,6.78091192245483,25.840097774351,0.929496650842418,0.0705033491575824,1,2017-09-19
5,"cdu_csu",11.266,36.7920455932617,27.1906980225042,0.707047131466999,0.292952868533001,1,2017-09-19
5,"fdp",2.786,6.66934633255005,13.7354163247314,0.831370389484735,0.168629610515265,1,2017-09-19
5,"gruene",1.212,10.3744049072266,3.44291501439547,0.739630047755577,0.260369952244423,1,2017-09-19
5,"linke_pds",4.796,8.55743789672852,7.36413116108637,0.605596359408715,0.394403640591285,1,2017-09-19
5,"spd",0.724,24.429838180542,27.2930441102895,0.974158587281729,0.0258414127182712,1,2017-09-19
6,"afd",1.69,6.78091192245483,25.840097774351,0.938612640832154,0.0613873591678458,1,2017-09-18
6,"cdu_csu",11.23,36.7920455932617,27.1906980225042,0.70770963105818,0.29229036894182,1,2017-09-18
6,"fdp",2.73,6.66934633255005,13.7354163247314,0.834197936683843,0.165802063316157,1,2017-09-18
6,"gruene",1.242,10.3744049072266,3.44291501439547,0.7348938035837,0.2651061964163,1,2017-09-18
6,"linke_pds",4.886,8.55743789672852,7.36413116108637,0.601147127671513,0.398852872328487,1,2017-09-18
6,"spd",0.684000000000002,24.429838180542,27.2930441102895,0.975551384295511,0.0244486157044889,1,2017-09-18
7,"afd",1.69,6.78091192245483,25.840097774351,0.938612640832154,0.0613873591678458,1,2017-09-17
7,"cdu_csu",10.996,36.7920455932617,27.1906980225042,0.712046325830009,0.287953674169991,1,2017-09-17
7,"fdp",2.74,6.66934633255005,13.7354163247314,0.833691607787358,0.166308392212642,1,2017-09-17
7,"gruene",1.402,10.3744049072266,3.44291501439547,0.710624439059447,0.289375560940553,1,2017-09-17
7,"linke_pds",4.652,8.55743789672852,7.36413116108637,0.612853759863635,0.387146240136365,1,2017-09-17
7,"spd",0.590000000000002,24.429838180542,27.2930441102895,0.978840186972904,0.0211598130270962,1,2017-09-17
8,"afd",1.96,6.78091192245483,25.840097774351,0.929496650842418,0.0705033491575824,1,2017-09-16
8,"cdu_csu",10.776,36.7920455932617,27.1906980225042,0.716172315179669,0.283827684820331,1,2017-09-16
8,"fdp",2.754,6.66934633255005,13.7354163247314,0.83298377906382,0.167016220936181,1,2017-09-16
